Rank,Symbol,Bar Type,Window,Total Return,Benchmark Return,Excess Return,Zero Fee Return,Max DD %,Profit Factor,Commission / Gross PnL,Exposure %,Net Score,Status
1,BTCUSDT,15m,90d,0.08841872,-0.12261438527160229,0.2110331052716023,0.169657,0.08156335,1.6259765063221234,0.49771036428466403,0.44837962962962963,0.8845594213052896,success
2,BTCUSDT,1h,90d,0.03350147,-0.12360466834096617,0.15710613834096618,0.055845,0.10874532,1.3031248014570407,0.3902595060520846,0.42824074074074076,0.7296914312693374,success
3,BTCUSDT,15m,30d,-0.00161532,-0.07169563519765265,0.07008031519765265,0.02871,0.04212631,1.4226782874977917,1.0562633577150817,0.4486111111111111,0.6869197078598251,success
4,BTCUSDT,1h,30d,-0.02549852,-0.07274338897916977,0.04724486897916977,-0.017536,0.04952072,0.6454078537630931,0.4540670620437956,0.4152777777777778,0.580729535704373,success
5,BTCUSDT,5m,30d,-0.05534025,-0.07261186399607555,0.017271613996075554,0.030767000000000006,0.06180869,1.2478451400860333,2.7986883836578156,0.44479166666666664,0.45874707918491386,success
6,BTCUSDT,1h,7d,-0.01961467,0.024922440537745505,-0.044537110537745506,-0.017199000000000002,0.02122367,0.0,0.15794877075977506,0.11904761904761904,0.4305813780227531,success
7,BTCUSDT,15m,7d,-0.0275578,0.026080551841641153,-0.05363835184164115,-0.020637,0.0275578,0.05792933442892359,0.33535874884915445,0.20238095238095238,0.40438162253201715,success
8,BTCUSDT,5m,7d,-0.04062602,0.025067818748116144,-0.06569383874811614,-0.017677,0.06180869,0.4992209411031474,1.298241924534706,0.4097222222222222,0.33196888940663277,success
9,BTCUSDT,5m,90d,-0.12947189,-0.1234803576811011,-0.005991532318898901,0.11647300000000001,0.17812723,1.19130769450067,2.2906721509201997,0.43321759259259257,0.26168868925338246,success
