event_time_ns,event_time,instrument_id,close,cash,position,realized_pnl,unrealized_pnl,equity
1717200000000000000,2024-06-01T00:00:00+00:00,BTCUSDT-PERP.BINANCE,67680.4,100000.0,0.0,0.0,0.0,100000.0
1717200300000000000,2024-06-01T00:05:00+00:00,BTCUSDT-PERP.BINANCE,67641.6,100000.0,0.0,0.0,0.0,100000.0
1717200600000000000,2024-06-01T00:10:00+00:00,BTCUSDT-PERP.BINANCE,67613.6,100000.0,0.0,0.0,0.0,100000.0
1717200900000000000,2024-06-01T00:15:00+00:00,BTCUSDT-PERP.BINANCE,67564.4,100000.0,0.0,0.0,0.0,100000.0
1717201200000000000,2024-06-01T00:20:00+00:00,BTCUSDT-PERP.BINANCE,67545.8,100000.0,0.0,0.0,0.0,100000.0
1717201500000000000,2024-06-01T00:25:00+00:00,BTCUSDT-PERP.BINANCE,67595.8,100000.0,0.0,0.0,0.0,100000.0
1717201800000000000,2024-06-01T00:30:00+00:00,BTCUSDT-PERP.BINANCE,67636.1,100000.0,0.0,0.0,0.0,100000.0
1717202100000000000,2024-06-01T00:35:00+00:00,BTCUSDT-PERP.BINANCE,67617.1,100000.0,0.0,0.0,0.0,100000.0
1717202400000000000,2024-06-01T00:40:00+00:00,BTCUSDT-PERP.BINANCE,67644.6,100000.0,0.0,0.0,0.0,100000.0
1717202700000000000,2024-06-01T00:45:00+00:00,BTCUSDT-PERP.BINANCE,67683.1,100000.0,0.0,0.0,0.0,100000.0
1717203000000000000,2024-06-01T00:50:00+00:00,BTCUSDT-PERP.BINANCE,67710.0,100000.0,0.0,0.0,0.0,100000.0
1717203300000000000,2024-06-01T00:55:00+00:00,BTCUSDT-PERP.BINANCE,67690.0,100000.0,0.0,0.0,0.0,100000.0
1717203600000000000,2024-06-01T01:00:00+00:00,BTCUSDT-PERP.BINANCE,67713.1,100000.0,0.0,0.0,0.0,100000.0
1717203900000000000,2024-06-01T01:05:00+00:00,BTCUSDT-PERP.BINANCE,67676.0,100000.0,0.0,0.0,0.0,100000.0
1717204200000000000,2024-06-01T01:10:00+00:00,BTCUSDT-PERP.BINANCE,67650.1,100000.0,0.0,0.0,0.0,100000.0
1717204500000000000,2024-06-01T01:15:00+00:00,BTCUSDT-PERP.BINANCE,67593.1,100000.0,0.0,0.0,0.0,100000.0
1717204800000000000,2024-06-01T01:20:00+00:00,BTCUSDT-PERP.BINANCE,67593.7,100000.0,0.0,0.0,0.0,100000.0
1717205100000000000,2024-06-01T01:25:00+00:00,BTCUSDT-PERP.BINANCE,67608.6,100000.0,0.0,0.0,0.0,100000.0
1717205400000000000,2024-06-01T01:30:00+00:00,BTCUSDT-PERP.BINANCE,67614.1,100000.0,0.0,0.0,0.0,100000.0
1717205700000000000,2024-06-01T01:35:00+00:00,BTCUSDT-PERP.BINANCE,67501.7,100000.0,0.0,0.0,0.0,100000.0
1717206000000000000,2024-06-01T01:40:00+00:00,BTCUSDT-PERP.BINANCE,67540.1,167506.32995,-1.0,0.0,0.0,99966.22995
1717206300000000000,2024-06-01T01:45:00+00:00,BTCUSDT-PERP.BINANCE,67572.6,167506.32995,-1.0,0.0,-32.5,99933.72995
1717206600000000000,2024-06-01T01:50:00+00:00,BTCUSDT-PERP.BINANCE,67591.1,167506.32995,-1.0,0.0,-51.0,99915.22995
1717206900000000000,2024-06-01T01:55:00+00:00,BTCUSDT-PERP.BINANCE,67600.0,167506.32995,-1.0,0.0,-59.9,99906.32995
