event_time_ns,event_time,instrument_id,signal,close,vwm_bar_close,vwm_bar_high,vwm_bar_low,vwm_bar_volume
1717200000000000000,2024-06-01T00:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67680.4,67680.4,67680.7,67572.0,464.748
1717200300000000000,2024-06-01T00:05:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67641.6,67641.6,67727.8,67641.6,418.752
1717200600000000000,2024-06-01T00:10:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67613.6,67613.6,67673.2,67596.1,236.373
1717200900000000000,2024-06-01T00:15:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67564.4,67564.4,67613.6,67537.9,286.989
1717201200000000000,2024-06-01T00:20:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67545.8,67545.8,67564.4,67535.4,234.505
1717201500000000000,2024-06-01T00:25:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67595.8,67595.8,67597.5,67540.0,183.428
1717201800000000000,2024-06-01T00:30:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67636.1,67636.1,67673.3,67595.8,192.119
1717202100000000000,2024-06-01T00:35:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67617.1,67617.1,67636.1,67580.0,121.441
1717202400000000000,2024-06-01T00:40:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67644.6,67644.6,67660.3,67611.2,159.439
1717202700000000000,2024-06-01T00:45:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67683.1,67683.1,67703.0,67633.9,374.115
1717203000000000000,2024-06-01T00:50:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67710.0,67710.0,67729.9,67683.1,192.673
1717203300000000000,2024-06-01T00:55:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67690.0,67690.0,67710.1,67680.3,160.869
1717203600000000000,2024-06-01T01:00:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67713.1,67713.1,67742.1,67680.1,290.719
1717203900000000000,2024-06-01T01:05:00+00:00,BTCUSDT-PERP.BINANCE,HOLD,67676.0,67676.0,67727.1,67625.0,228.775
