event_time_ns,event_time,instrument_id,side,quantity,fill_price,commission,source
1717206000000000000,2024-06-01T01:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67540.1,33.77005,nautilus
1717207800000000000,2024-06-01T02:10:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67680.1,33.84005,nautilus
1717219500000000000,2024-06-01T05:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67641.3,33.82065,nautilus
1717220700000000000,2024-06-01T05:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67780.8,33.8904,nautilus
1717226700000000000,2024-06-01T07:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67661.0,33.8305,nautilus
1717227900000000000,2024-06-01T07:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67768.7,33.88435,nautilus
1717239300000000000,2024-06-01T10:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67670.0,33.835,nautilus
1717243800000000000,2024-06-01T12:10:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67747.1,33.87355,nautilus
1717257300000000000,2024-06-01T15:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67728.2,33.8641,nautilus
1717271100000000000,2024-06-01T19:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67770.2,33.8851,nautilus
1717285200000000000,2024-06-01T23:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67762.3,33.88115,nautilus
1717287600000000000,2024-06-02T00:20:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67829.6,33.9148,nautilus
1717293600000000000,2024-06-02T02:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67771.9,33.88595,nautilus
1717302900000000000,2024-06-02T04:35:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67874.9,33.93745,nautilus
1717306800000000000,2024-06-02T05:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67789.9,33.89495,nautilus
1717317600000000000,2024-06-02T08:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67835.5,33.91775,nautilus
1717319700000000000,2024-06-02T09:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67700.1,33.85005,nautilus
1717328100000000000,2024-06-02T11:35:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67716.5,33.85825,nautilus
1717348800000000000,2024-06-02T17:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,68019.8,34.0099,nautilus
1717366800000000000,2024-06-02T22:20:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67952.4,33.9762,nautilus
1717372200000000000,2024-06-02T23:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,67834.0,33.917,nautilus
1717376700000000000,2024-06-03T01:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,67959.6,33.9798,nautilus
1717412400000000000,2024-06-03T11:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,68949.1,34.47455,nautilus
1717413900000000000,2024-06-03T11:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69246.8,34.6234,nautilus
1717425600000000000,2024-06-03T14:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69244.6,34.6223,nautilus
1717440000000000000,2024-06-03T18:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69416.1,34.70805,nautilus
1717442100000000000,2024-06-03T19:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69157.9,34.57895,nautilus
1717445100000000000,2024-06-03T20:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69297.3,34.64865,nautilus
1717449600000000000,2024-06-03T21:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69100.0,34.55,nautilus
1717462200000000000,2024-06-04T00:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69118.8,34.5594,nautilus
1717477200000000000,2024-06-04T05:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69102.8,34.5514,nautilus
1717488900000000000,2024-06-04T08:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69129.7,34.56485,nautilus
1717491300000000000,2024-06-04T08:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,68873.7,34.43685,nautilus
1717497900000000000,2024-06-04T10:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,68989.4,34.4947,nautilus
1717529700000000000,2024-06-04T19:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,70183.6,35.0918,nautilus
1717538100000000000,2024-06-04T21:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,70650.0,35.325,nautilus
1717543500000000000,2024-06-04T23:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,70448.5,35.22425,nautilus
1717547400000000000,2024-06-05T00:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,70829.6,35.4148,nautilus
1717567200000000000,2024-06-05T06:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,70984.2,35.4921,nautilus
1717569900000000000,2024-06-05T06:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,71046.5,35.52325,nautilus
1717577400000000000,2024-06-05T08:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,70957.9,35.47895,nautilus
1717586700000000000,2024-06-05T11:25:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,70951.5,35.47575,nautilus
1717590000000000000,2024-06-05T12:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,70824.0,35.412,nautilus
1717592100000000000,2024-06-05T12:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,70992.4,35.4962,nautilus
1717594800000000000,2024-06-05T13:40:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,70870.4,35.4352,nautilus
1717599000000000000,2024-06-05T14:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,71025.0,35.5125,nautilus
1717611600000000000,2024-06-05T18:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,71218.9,35.60945,nautilus
1717617600000000000,2024-06-05T20:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,71231.8,35.6159,nautilus
1717622400000000000,2024-06-05T21:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,71100.0,35.55,nautilus
1717625700000000000,2024-06-05T22:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,71198.0,35.599,nautilus
1717645800000000000,2024-06-06T03:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,71063.6,35.5318,nautilus
1717650000000000000,2024-06-06T05:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,71059.4,35.5297,nautilus
1717650600000000000,2024-06-06T05:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,70913.2,35.4566,nautilus
1717654500000000000,2024-06-06T06:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,71010.9,35.50545,nautilus
1717679400000000000,2024-06-06T13:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,71156.2,35.5781,nautilus
1717680900000000000,2024-06-06T13:35:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,71371.2,35.6856,nautilus
1717690200000000000,2024-06-06T16:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,71177.0,35.5885,nautilus
1717715100000000000,2024-06-06T23:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,70946.5,35.47325,nautilus
1717723200000000000,2024-06-07T01:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,70790.3,35.39515,nautilus
1717725300000000000,2024-06-07T01:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,70870.0,35.435,nautilus
1717727700000000000,2024-06-07T02:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,70726.6,35.3633,nautilus
1717729500000000000,2024-06-07T03:05:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,70817.0,35.4085,nautilus
1717746300000000000,2024-06-07T07:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,71136.7,35.56835,nautilus
1717752600000000000,2024-06-07T09:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,71205.9,35.60295,nautilus
1717763700000000000,2024-06-07T12:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,70920.6,35.4603,nautilus
1717801200000000000,2024-06-07T23:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69466.9,34.73345,nautilus
1717819800000000000,2024-06-08T04:10:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69456.9,34.72845,nautilus
1717828200000000000,2024-06-08T06:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69403.9,34.70195,nautilus
1717842000000000000,2024-06-08T10:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69423.8,34.7119,nautilus
1717844100000000000,2024-06-08T10:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69498.7,34.74935,nautilus
1717847400000000000,2024-06-08T11:50:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69365.6,34.6828,nautilus
1717855200000000000,2024-06-08T14:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69411.8,34.7059,nautilus
1717863600000000000,2024-06-08T16:20:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69401.7,34.70085,nautilus
1717866900000000000,2024-06-08T17:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69478.0,34.739,nautilus
1717878300000000000,2024-06-08T20:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69431.1,34.71555,nautilus
1717897200000000000,2024-06-09T01:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69355.2,34.6776,nautilus
1717899300000000000,2024-06-09T02:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69291.9,34.64595,nautilus
1717905000000000000,2024-06-09T03:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69313.7,34.65685,nautilus
1717925700000000000,2024-06-09T09:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69379.0,34.6895,nautilus
1717930500000000000,2024-06-09T10:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69381.8,34.6909,nautilus
1717931100000000000,2024-06-09T11:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69371.3,34.68565,nautilus
1717933200000000000,2024-06-09T11:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69428.0,34.714,nautilus
1717964700000000000,2024-06-09T20:25:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69698.6,34.8493,nautilus
1717967400000000000,2024-06-09T21:10:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69736.9,34.86845,nautilus
1717968900000000000,2024-06-09T21:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69635.3,34.81765,nautilus
1717969800000000000,2024-06-09T21:50:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69807.0,34.9035,nautilus
1717973700000000000,2024-06-09T22:55:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69666.0,34.833,nautilus
1717982400000000000,2024-06-10T01:20:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69572.6,34.7863,nautilus
1717992900000000000,2024-06-10T04:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69608.1,34.80405,nautilus
1718008800000000000,2024-06-10T08:40:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69512.7,34.75635,nautilus
1718010300000000000,2024-06-10T09:05:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69412.7,34.70635,nautilus
1718013600000000000,2024-06-10T10:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69425.2,34.7126,nautilus
1718015700000000000,2024-06-10T10:35:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69397.4,34.6987,nautilus
1718016900000000000,2024-06-10T10:55:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,69472.2,34.7361,nautilus
1718019000000000000,2024-06-10T11:30:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,69404.1,34.70205,nautilus
