event_time_ns,event_time,instrument_id,action,quantity,reason
1717227900000000000,2024-06-01T07:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717232400000000000,2024-06-01T09:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717243200000000000,2024-06-01T12:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717244100000000000,2024-06-01T12:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717258500000000000,2024-06-01T16:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717264800000000000,2024-06-01T18:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717296300000000000,2024-06-02T02:45:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717302600000000000,2024-06-02T04:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717352100000000000,2024-06-02T18:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717377300000000000,2024-06-03T01:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717479000000000000,2024-06-04T05:30:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717505100000000000,2024-06-04T12:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717582500000000000,2024-06-05T10:15:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717588800000000000,2024-06-05T12:00:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717590600000000000,2024-06-05T12:30:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717591500000000000,2024-06-05T12:45:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717596000000000000,2024-06-05T14:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717601400000000000,2024-06-05T15:30:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
1717693200000000000,2024-06-06T17:00:00+00:00,BTCUSDT-PERP.BINANCE,SELL,1.0,signal=SELL (short)
1717733700000000000,2024-06-07T04:15:00+00:00,BTCUSDT-PERP.BINANCE,BUY,1.0,signal=BUY
